GEOID,county.occ
01001,20534
01003,76014
01005,9431
01007,6941
01009,16310
01011,3100
01013,6408
01015,42121
01017,14852
01019,14303
01021,15346
01023,5339
01025,9851
01027,4585
01029,6110
01031,19764
01033,21449
01035,5087
01037,6916
01039,15798
01041,5227
01043,30412
01045,16713
01047,16493
01049,25080
01051,31164
01053,13464
01055,39939
01057,4893
01059,12139
01061,10671
01063,2946
01065,6370
01067,7844
01069,39999
01071,21304
01073,261284
01075,6148
01077,38904
01079,14893
01081,57588
01083,31804
01085,4116
01087,7594
01089,142601
01091,7675
01093,11972
01095,36575
01097,153929
01099,7752
01101,89955
01103,43827
01105,2808
01107,7529
01109,13322
01111,8817
01113,22801
01115,29721
01117,87095
01119,5045
01121,29115
01123,14623
01125,68784
01127,25038
01129,6064
01131,4126
01133,10246
02013,812
02016,1218
02020,100097
02050,10374
02060,226
02068,800
02070,1405
02090,29407
02100,1119
02105,770
02110,12273
02122,21779
02130,5270
02150,4538
02158,1752
02164,540
02170,30845
02180,2897
02185,2041
02188,1842
02195,1255
02198,2315
02220,3545
02230,423
02240,2188
02261,2656
02275,1084
02282,255
02290,8736
04001,19124
04003,49701
04005,45804
04007,23400
04009,11020
04011,3366
04012,8798
04013,1462484
04015,84427
04017,31977
04019,390881
04021,167599
04023,15739
04025,95865
04027,71475
05001,7916
05003,8075
05005,19105
05007,88088
05009,14377
05011,4648
05013,1703
05015,11113
05017,3535
05019,9621
05021,6443
05023,10590
05025,3069
05027,8826
05029,7673
05031,40130
05033,22554
05035,19301
05037,6674
05039,3620
05041,5538
05043,7835
05045,43645
05047,9098
05049,4500
05051,43096
05053,5977
05055,16514
05057,7211
05059,10963
05061,5886
05063,13700
05065,4363
05067,6986
05069,27379
05071,9514
05073,3407
05075,6026
05077,3318
05079,3823
05081,5291
05083,8193
05085,27880
05087,7886
05089,6639
05091,17020
05093,17098
05095,3279
05097,3714
05099,3494
05101,3011
05103,10480
05105,3936
05107,7925
05109,4025
05111,9733
05113,8123
05115,23411
05117,3498
05119,153405
05121,8307
05123,8843
05125,42060
05127,3199
05129,3537
05131,50280
05133,6022
05135,8167
05137,4723
05139,16276
05141,6537
05143,85699
05145,28870
05147,2946
05149,7833
06001,570923
06003,1692
06005,14207
06007,86508
06009,16431
06011,7119
06013,392030
06015,9683
06017,68065
06019,297410
06021,10062
06023,54010
06025,44864
06027,2250
06029,260727
06031,37560
06033,26279
06035,10773
