GEOID,county.pop
01001,40789
01003,162107
01005,20782
01007,17935
01009,34747
01011,6745
01013,13984
01015,84255
01017,28965
01019,27154
01021,30679
01023,10160
01025,19539
01027,8566
01029,12209
01031,39657
01033,41803
01035,11005
01037,14903
01039,30053
01041,10610
01043,62408
01045,33545
01047,30303
01049,52678
01051,67188
01053,29316
01055,82542
01057,9371
01059,24574
01061,20738
01063,6268
01065,13038
01067,15489
01069,80878
01071,43058
01073,510515
01075,11019
01077,74562
01079,30304
01081,122276
01083,70016
01085,7203
01087,15348
01089,279587
01091,14544
01093,22894
01095,75204
01097,316972
01099,15806
01101,174009
01103,87099
01105,6793
01107,16354
01109,29075
01111,18040
01113,43739
01115,61858
01117,180070
01119,10446
01121,57930
01123,28618
01125,155597
01127,50107
01129,12693
01131,8633
01133,20485
02013,2937
02016,4585
02020,211795
02050,22596
02060,406
02068,2219
02070,3439
02090,61820
02100,2006
02105,1756
02110,25348
02122,44941
02130,10738
02150,10075
02158,4878
02164,1244
02170,76010
02180,6521
02185,7250
02188,5001
02195,2521
02198,4922
02220,6799
02230,876
02240,5172
02261,6446
02275,1991
02282,478
02290,17190
04001,50920
04003,100281
04005,107251
04007,47939
04009,27123
04011,6867
04012,17288
04013,3146856
04015,170107
04017,72393
04019,785225
04021,401322
04023,34050
04025,189634
04027,154074
05001,14487
05003,15702
05005,36474
05007,183014
05009,27692
05011,8574
05013,3262
05015,22380
05017,6171
05019,19714
05021,11822
05023,20260
05025,5936
05027,17939
05029,15245
05031,80103
05033,44831
05035,36770
05037,12827
05039,6780
05041,9469
05043,16510
05045,93171
05047,17805
05049,8075
05051,83909
05053,11882
05055,32958
05057,14883
05059,23986
05061,11872
05063,27095
05065,8614
05067,15325
05069,54928
05071,19295
05073,6523
05075,11875
05077,7142
05079,11017
05081,9669
05083,16565
05085,56533
05087,16110
05089,13291
05091,33326
05093,31179
05095,5702
05097,7003
05099,6533
05101,6132
05103,19491
05105,8478
05107,14277
05109,7660
05111,18732
05113,15451
05115,49409
05117,5820
05119,297459
05121,15346
05123,19598
05125,87826
05127,6083
05129,6591
05131,96667
05133,12357
05135,15588
05137,9484
05139,30248
05141,12832
05143,175006
05145,59616
05147,5358
05149,16690
06001,1304482
06003,3475
06005,32081
06007,181910
06009,34895
06011,15765
06013,876691
06015,21470
06017,148561
06019,688101
06021,20558
06023,109605
06025,127242
06027,4126
06029,615822
06031,88953
06033,50744
06035,28610
06037,7847406
06039,113286
06041,206681
06043,13495
06045,68289
06047,188182
06049,7783
06051,21681
06053,309027
06055,111239
06057,62917
06059,2458319
06061,311523
06063,14213
06065,1770865
06067,1148755
06069,45834
06071,1561426
06073,2569436
06075,753147
06077,519004
06079,226546
06081,583364
06083,371348
06085,1507264
06087,234240
06089,133987
06091,4177
06093,34034
06095,338789
06097,400747
06099,394082
06101,71594
06103,53398
06105,10623
06107,346506
06109,46026
06111,632028
06113,169175
06115,54982
08001,377091
08003,12504
08005,436776
08007,10520
08009,2834
08011,5349
08013,229057
08014,53519
08015,16182
08017,1339
08019,24067
08021,6009
08023,2918
08025,4869
08027,3760
08029,23673
08031,556166
08033,1305
08035,240036
08037,33592
08039,21156
08041,515617
08043,39084
08045,32749
08047,4484
08049,12325
08051,13420
08053,665
08055,6848
08057,1048
08059,473747
08061,1032
08063,5932
08065,6318
08067,44833
08069,265500
08071,11636
08073,1828
08075,17033
08077,116395
08079,729
08081,9671
08083,20327
08085,32803
08087,20417
08089,12838
08091,3453
08093,13287
08095,3460
08097,25780
08099,8591
08101,127182
08103,14355
08105,8613
08107,20361
08109,5163
08111,447
08113,6926
08115,1811
08117,25398
08119,20222
08121,3869
08123,245390
08125,7224
09001,727503
09003,704274
09005,148289
09007,132665
09009,682585
09011,216695
09013,123906
09015,92962
10001,147150
10003,429514
10005,169405
11001,562761
12001,226299
12003,20995
12005,144361
12007,19496
12009,476078
12011,1500346
12013,11088
12015,154161
12017,121300
12019,155620
12021,299063
12023,55955
12027,29254
12029,12967
12031,715599
12033,251365
12035,86403
12037,9519
12039,35931
12041,13628
12043,26161
12045,13902
12047,10407
12049,20125
12051,31353
12053,143464
12055,85855
12057,1083035
12059,14324
12061,120012
12063,41035
12065,10646
12067,9666
12069,275504
12071,587736
12073,234070
12075,29604
12077,6972
12079,15566
12081,312752
12083,278145
12085,125013
12086,2161009
12087,64780
12089,64338
12091,158277
12093,15432
12095,1010175
12097,246622
12099,1158678
12101,390287
12103,798558
12105,523243
12107,54975
12109,183958
12111,257141
12113,126743
12115,344805
12117,369228
12119,113200
12121,30280
12123,18693
12125,12742
12127,436244
12129,25364
12131,50324
12133,18388
13001,13762
13003,7035
13005,7369
13007,1544
13009,35937
13011,21867
13013,60194
13015,78030
13017,13771
13019,14963
13021,105746
13023,10350
13025,12326
13027,11305
13029,28914
13031,55855
13033,13721
13035,21941
13037,4567
13039,39570
13043,8138
13045,102244
13047,38747
13049,10713
13051,227809
13053,14857
13055,20862
13057,193293
13059,94180
13061,2107
13063,191874
13065,4566
13067,563393
13069,32656
13071,32588
13073,117627
13075,13015
13077,104738
13079,4135
13081,16986
13083,11551
13085,22975
13087,20017
13089,587611
13091,19368
13093,11314
13095,73915
13097,106217
13099,8877
13101,9140
13103,39679
13105,15710
13107,18588
13109,8199
13111,20778
13113,87115
13115,70920
13117,115989
13119,21329
13121,836737
13123,23089
13125,2301
13127,65016
13129,43110
13131,16927
13133,13467
13135,606611
13137,28277
13139,145488
13141,7477
13143,19699
13145,33011
13147,18030
13149,6984
13151,172537
13153,108690
13155,6885
13157,66283
13159,9609
13161,11197
13163,12509
13165,6457
13167,7217
13169,37560
13171,13809
13173,5738
13175,35384
13177,19192
13179,46480
13181,6090
13183,9351
13185,84313
13187,22384
13189,15975
13191,11633
13193,10303
13195,20769
13197,7065
13199,14525
13201,4746
13205,19047
13207,17138
13209,4879
13211,13460
13213,27768
13215,142143
13217,79264
13219,27434
13221,13434
13223,83833
13225,28069
13227,22986
13229,14231
13231,14507
13233,34753
13235,10917
13237,16113
13239,1923
13241,13460
13243,5742
13245,148954
13247,66483
13249,3942
13251,10934
13253,6890
13255,47477
13257,18735
13259,5637
13261,23195
13263,3180
13265,1414
13267,21465
13269,7403
13271,10996
13273,6771
13275,33209
13277,27838
13279,23041
13281,10390
13283,4644
13285,47927
13287,6512
13289,4066
13291,18356
13293,18624
13295,63387
13297,87684
13299,28434
13301,4062
13303,15406
13305,22359
13307,1464
13309,6384
13311,23163
13313,78471
13315,6631
13317,8177
13319,9463
13321,16458
15001,154438
15003,776609
15005,71
15007,55646
15009,128754
16001,326365
16003,3269
16005,50019
16007,4219
16009,7335
16011,30407
16013,16654
16015,4054
16017,32640
16019,77993
16021,8809
16023,2271
16025,571
16027,149555
16029,5915
16031,16485
16033,714
16035,6786
16037,1535
16039,31607
16041,8871
16043,8090
16045,12696
16047,8715
16049,14231
16051,17896
16053,16259
16055,119172
16057,31650
16059,8006
16061,1639
16063,3753
16065,29333
16067,15186
16069,32093
16071,3057
16073,10298
16075,16109
16077,18676
16079,9955
16081,8159
16083,61874
16085,8565
16087,7641
17001,51357
17003,4875
17005,14959
17007,37865
17009,5600
17011,25719
17013,3725
17015,12139
17017,10241
17019,170185
17021,26295
17023,13100
17025,10930
17027,25027
17029,41818
17031,4070300
17033,15370
17035,8650
17037,85708
17039,12319
17041,13289
17043,768182
17045,13630
17047,4055
17049,25446
17051,17572
17053,10344
17055,31676
17057,28654
17059,3708
17061,10685
17063,29057
17065,5961
17067,15032
17069,2801
17071,5094
17073,37159
17075,20944
17077,46629
17079,7573
17081,30228
17083,19980
17085,17485
17087,10163
17089,363990
17091,86256
17093,69634
17095,41112
17097,520612
17099,84964
17101,13040
17103,28348
17105,26553
17107,23475
17109,25319
17111,247105
17113,136154
17115,83363
17117,33172
17119,210347
17121,34366
17123,8093
17125,9410
17127,11081
17129,9605
17131,13383
17133,30708
17135,22805
17137,27737
17139,12981
17141,38372
17143,140921
17145,18088
17147,12036
17149,12551
17151,3763
17153,4709
17155,4573
17157,21482
17159,12200
17161,113214
17163,196771
17165,19689
17167,152931
17169,5480
17171,3649
17173,15779
17175,4587
17177,36446
17179,107774
17181,13001
17183,59845
17185,9040
17187,12241
17189,10565
17191,12197
17193,12271
17195,44734
17197,502114
17199,53188
17201,219456
17203,26117
18001,23733
18003,269691
18005,61757
18007,5511
18009,9550
18011,46623
18013,14990
18015,12116
18017,29232
18019,90616
18021,20358
18023,24654
18025,8526
18027,21555
18029,38215
18031,20528
18033,33071
18035,93285
18037,32815
18039,146606
18041,17489
18043,57719
18045,15096
18047,13596
18049,15191
18051,26691
18053,54046
18055,25028
18057,222621
18059,58640
18061,31296
18063,108724
18065,39216
18067,66571
18069,30309
18071,34437
18073,27761
18075,16121
18077,28192
18079,20168
18081,107217
18083,29614
18085,57714
18087,25364
18089,373572
18091,92429
18093,36757
18095,101584
18097,719630
18099,34842
18101,9409
18103,24540
18105,121303
18107,29768
18109,58861
18111,8444
18113,34405
18115,4012
18117,14537
18119,17296
18121,13274
18123,14162
18125,9166
18127,124441
18129,16636
18131,10090
18133,27800
18135,19820
18137,26291
18139,13180
18141,205671
18143,17890
18145,39093
18147,14177
18149,16245
18151,28130
18153,16703
18155,6979
18157,150472
18159,11187
18161,5535
18163,144298
18165,12011
18167,83699
18169,25351
18171,6018
18173,49074
18175,19792
18177,52394
18179,21175
18181,20651
18183,27904
19001,5238
19003,2716
19005,12730
19007,9924
19009,4414
19011,19134
19013,106531
19015,21345
19017,20000
19019,13710
19021,15000
19023,12035
19025,8203
19027,14427
19029,10748
19031,18691
19033,33609
19035,8965
19037,9320
19039,6955
19041,12554
19043,12712
19045,36063
19047,12569
19049,65489
19051,6502
19053,6382
19055,15317
19057,30407
19059,13911
19061,69217
19063,7626
19065,15117
19067,12272
19069,8720
19071,5503
19073,6979
19075,8556
19077,9095
19079,11336
19081,8043
19083,12760
19085,11204
19087,15789
19089,8042
19091,7106
19093,5492
19095,12386
19097,15655
19099,27642
19101,15308
19103,119405
19105,17872
19107,7189
19109,11394
19111,28150
19113,168327
19115,7712
19117,6616
19119,8455
19121,16710
19123,15871
19125,25187
19127,30054
19129,10576
19131,7505
19133,6972
19135,5695
19137,8679
19139,30044
19141,6978
19143,4596
19145,12185
19147,7299
19149,23925
19151,5501
19153,349347
19155,71056
19157,15350
19159,3717
19161,7421
19163,131659
19165,8780
19167,29291
19169,79869
19171,13357
19173,4952
19175,9191
19177,4930
19179,27299
19181,35082
19183,14502
19185,4464
19187,28730
19189,9239
19191,16055
19193,70508
19195,5728
19197,10076
20001,9614
20003,6008
20005,12074
20007,3819
20009,19842
20011,10865
20013,7508
20015,49623
20017,1871
20019,2478
20021,16320
20023,2101
20025,1591
20027,5909
20029,7187
20031,6534
20033,1418
20035,27028
20037,31131
20039,2249
20041,11210
20043,5913
20045,96874
20047,2286
20049,2041
20051,20635
20053,5228
20055,25431
20057,23813
20059,19908
20061,20195
20063,2127
20065,2114
20067,5254
20069,4079
20071,889
20073,5526
20075,1841
20077,4270
20079,27338
20081,3366
20083,1320
20085,9971
20087,14451
20089,2294
20091,435553
20093,2704
20095,5264
20097,2002
20099,13931
20101,1273
20103,65745
20105,2326
20107,7658
20109,2233
20111,26009
20113,22582
20115,8884
20117,7583
20119,3124
20121,28338
20123,4712
20125,25642
20127,5880
20129,2151
20131,7585
20133,12330
20135,2400
20137,4611
20139,12414
20141,2833
20143,5476
20145,5951
20147,4125
20149,14776
20151,6689
20153,1901
20155,48107
20157,3678
20159,7400
20161,69522
20163,4153
20165,2755
20167,5487
20169,41974
20171,3660
20173,373430
20175,15382
20177,136065
20179,1586
20181,4503
20183,2918
20185,3037
20187,1518
20189,3999
20191,22384
20193,6125
20195,4129
20197,4841
20199,1208
20201,4529
20203,1624
20205,6251
20207,2098
20209,112664
21001,14578
21003,15066
21005,16650
21007,8528
21009,31129
21011,9440
21013,21381
21015,98249
21017,14736
21019,40724
21021,24511
21023,6294
21025,9811
21027,15394
21029,49561
21031,9325
21033,9778
21035,31501
21037,72542
21039,3812
21041,7431
21043,21797
21045,14390
21047,43177
21049,27488
21051,15859
21053,7810
21055,6610
21057,5293
21059,74184
21061,5861
21063,4756
21065,11329
21067,252641
21069,11367
21071,27993
21073,40515
21075,5743
21077,3570
21079,14028
21081,20959
21083,28185
21085,20260
21087,8460
21089,25729
21091,6712
21093,77866
21095,21016
21097,14088
21099,15172
21101,35412
21103,12307
21105,4018
21107,35453
21109,10391
21111,602008
21113,38805
21115,17341
21117,122099
21119,13205
21121,19451
21123,8012
21125,39551
21127,12347
21129,5143
21131,7969
21133,15330
21135,10150
21137,15869
21139,7441
21141,21375
21143,6740
21145,47979
21147,13680
21149,7365
21151,70735
21153,9789
21155,14754
21157,24439
21159,9175
21161,13761
21163,25906
21165,5051
21167,17411
21169,8394
21171,8864
21173,21051
21175,11324
21177,24321
21179,35509
21181,5624
21183,19588
21185,57475
21187,8334
21189,3800
21191,10311
21193,21750
21195,50083
21197,9194
21199,50668
21201,1507
21203,12336
21205,19882
21207,13771
21209,39814
21211,32150
21213,14567
21215,13077
21217,20729
21219,8563
21221,10436
21223,7875
21225,12055
21227,101742
21229,8480
21231,15736
21233,10631
21235,38959
21237,5510
21239,20473
22001,60555
22003,19703
22005,88373
22007,32136
22009,30804
22011,29084
22013,9780
22015,92021
22017,190881
22019,127170
22021,8191
22023,25198
22025,8962
22027,12294
22029,14001
22031,20618
22033,342073
22035,5745
22037,16724
22039,21773
22041,14373
22043,17261
22045,55833
22047,24307
22049,13572
22051,339491
22053,28560
22055,185442
22057,74911
22059,11048
22061,38729
22063,99855
22065,13541
22067,19996
22069,30844
22071,310908
22073,111679
22075,17239
22077,18675
22079,99848
22081,6254
22083,10519
22085,17633
22087,33372
22089,38383
22091,4080
22093,17080
22095,33655
22097,52059
22099,35433
22101,23439
22103,190960
22105,103718
22107,3544
22109,84231
22111,20891
22113,41250
22115,36834
22117,35602
22119,31429
22121,19656
22123,8776
22125,12838
22127,11059
23001,83915
23003,56716
23005,235579
23007,24002
23009,47528
23011,97711
23013,32604
23015,28366
23017,46889
23019,116949
23021,18863
23023,28511
23025,39604
23027,31959
23029,25177
23031,164003
24001,55389
24003,446092
24005,648076
24009,67500
24011,25940
24013,118590
24015,78933
24017,119673
24019,24831
24021,198704
24023,27708
24025,193544
24027,242390
24029,20250
24031,804034
24033,696142
24035,34474
24037,82752
24039,20190
24041,30359
24043,120109
24045,79211
24047,44214
24510,480153
25001,182421
25003,105195
25005,442308
25007,14652
25009,612210
25011,58023
25013,366051
25015,137888
25017,1266188
25019,8770
25021,561460
25023,397147
25025,652659
25027,645264
26001,10240
26003,7036
26005,111476
26007,21851
26009,18502
26011,11017
26013,6996
26015,38630
26017,79768
26019,18500
26021,129770
26023,33999
26025,103502
26027,33015
26029,21861
26031,18073
26033,31147
26035,26689
26037,64440
26039,9522
26041,28639
26043,20524
26045,92215
26047,28352
26049,298551
26051,24485
26053,13101
26055,74669
26057,34675
26059,33170
26061,29743
26063,23486
26065,225324
26067,49218
26069,21477
26071,9334
26073,56114
26075,124487
26077,201697
26079,14075
26081,478391
26083,1572
26085,9347
26087,66784
26089,13385
26091,78959
26093,150066
26095,5367
26097,8368
26099,681170
26101,20183
26103,56089
26105,21500
26107,32961
26109,18274
26111,63335
26113,10140
26115,122742
26117,50961
26119,5892
26121,133917
26123,33380
26125,1002024
26127,20865
26129,15908
26131,4852
26133,20782
26135,8501
26137,18815
26139,200180
26141,11771
26143,22387
26145,150510
26147,126558
26149,46043
26151,34314
26153,6953
26155,56907
26157,43465
26159,60501
26161,285670
26163,1337087
26165,25121
27001,15476
27003,276913
27005,24740
27007,33817
27009,23488
27011,3972
27013,53675
27015,20862
27017,29090
27019,69122
27021,27622
27023,8678
27025,40167
27027,47883
27029,8829
27031,4495
27033,8573
27035,46507
27037,316417
27039,14946
27041,26753
27043,10596
27045,17302
27047,22788
27049,36449
27051,4946
27053,969079
27055,15282
27057,14706
27059,27213
27061,34564
27063,7430
27065,11768
27067,31859
27069,3439
27071,10856
27073,5299
27075,13549
27077,2915
27079,26619
27081,4083
27083,19914
27085,28278
27087,4440
27089,4789
27091,15807
27093,17041
27095,24073
27097,23730
27099,30038
27101,6189
27103,25859
27105,15323
27107,4841
27109,113753
27111,42847
27113,11171
27115,22452
27117,7533
27119,25733
27121,9978
27123,415165
27125,3213
27127,11702
27129,11529
27131,52732
27133,6723
27135,11980
27137,155744
27139,95328
27141,77613
27143,10372
27145,125983
27147,27966
27149,7846
27151,7304
27153,20034
27155,1904
27157,17123
27159,11871
27161,14903
27163,176697
27165,8228
27167,5015
27169,40861
27171,82241
27173,8426
28001,24744
28003,27305
28005,8155
28007,15451
28009,6516
28011,24777
28013,10710
28015,6050
28017,14089
28019,6367
28021,6033
28023,10894
28025,15235
28027,17315
28029,23844
28031,16051
28033,128260
28035,50283
28037,5619
28039,20169
28041,9561
28043,16589
28045,32581
28047,161685
28049,182403
28051,11719
28053,6178
28055,3343
28057,23025
28059,98684
28061,13974
28063,6473
28065,9896
28067,49539
28069,9532
28071,41480
28073,56395
28075,59696
28077,10034
28079,17869
28081,57728
28083,22142
28085,23463
28087,45621
28089,78605
28091,20001
28093,29630
28095,24014
28097,8944
28099,23503
28101,14243
28103,7926
28105,40246
28107,26472
28109,43537
28111,10632
28113,30796
28115,24383
28117,21392
28119,5328
28121,114465
28123,21241
28125,1088
28127,19986
28129,10411
28131,16507
28133,20063
28135,10735
28137,22141
28139,18957
28141,15088
28143,7320
28145,19819
28147,9501
28149,35566
28151,34994
28153,12267
28155,7868
28157,7585
28159,12967
28161,11527
28163,21211
29001,21519
29003,19216
29005,4229
29007,24833
29009,38343
29011,8663
29013,10836
29015,15644
29017,8950
29019,135792
29021,61559
29023,31620
29025,6829
29027,34496
29029,37212
29031,60055
29033,7015
29035,4984
29037,75172
29039,10585
29041,7150
29043,62648
29045,4650
29047,185288
29049,22294
29051,57857
29053,13720
29055,17413
29057,6065
29059,12279
29061,5929
29063,4252
29065,11739
29067,8504
29069,22735
29071,85832
29073,12578
29075,5337
29077,236377
29079,7658
29081,6233
29083,18517
29085,7678
29087,3510
29089,7580
29091,30949
29093,7910
29095,530821
29097,75442
29099,151578
29101,40955
29103,3482
29105,26613
29107,25332
29109,15861
29111,8054
29113,39977
29115,7382
29117,11566
29119,16595
29121,11867
29123,10071
29125,10809
29127,26052
29129,2777
29131,16775
29133,11007
29135,13288
29137,4606
29139,7435
29141,16348
29143,11765
29145,57102
29147,18693
29149,7806
29151,8931
29153,8480
29155,12194
29157,14717
29159,31106
29161,36610
29163,15456
29165,74547
29167,24737
29169,39206
29171,3431
29173,5566
29175,20614
29177,14833
29179,4047
29181,10736
29183,298184
29185,7226
29186,12780
29187,54144
29189,798569
29195,17935
29197,2888
29199,2928
29201,32400
29203,8350
29205,4697
29207,23140
29209,25855
29211,5123
29213,44278
29215,17879
29217,15579
29219,26292
29221,17800
29223,11582
29225,22236
29227,1760
29229,15815
29510,242426
30001,7662
30003,8480
30005,4505
30007,4079
30009,8191
30011,1046
30013,63464
