index,statefp,state,countyfp,county,unique.name,hurricane,zcta,time.seconds,track_order,wind_order,rain_order,track_rate,wind_rate,rain_rate,track_bid1,wind_bid1,rain_bid1,track_answer1,wind_answer1,rain_answer1,track_bid2,wind_bid2,rain_bid2,track_answer2,wind_answer2,rain_answer2,mean.inc18,female,experience,evacuate,voice,action,long_risk,age,owner,tenure,short_risk,hurricane_awareness,fema_awareness,nfip_awareness,damage,hh_size,dist.shore,loss,fem_20ws,fem_30ws,fem_40ws,fem_50ws,meaninc_20ws,meaninc_30ws,meaninc_40ws,meaninc_50ws,ownr_20ws,ownr_30ws,ownr_40ws,ownr_50ws,tax,personal,worth,costly,trust,mean.inc11,US_inc18,dif_mean
1,37,north carolina,61,duplin,north carolina duplin,florence,28466,359,1,2,3,1,3,2,19,28,21,1,0,0,22.8,22.4,16.8,1,1,0,50643,0,1,1,5,5,2.00E-04,,0,4,2.00E-04,3,2,1,1,3,44899.19161,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,1,1,0,0,55003.88,68372.58687,45.34874733
2,37,north carolina,51,cumberland,north carolina cumberland,florence,28314,347,1,3,2,1,2,3,15,13,19,1,1,0,18,15.6,15.2,1,1,1,58365,0,1,0,2,4,1,,1,13.5,0.2,1,1,1,1,2,137668.081,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,0,0,64786.29,68372.58687,13.439081
3,37,north carolina,51,cumberland,north carolina cumberland,florence,28306,368,3,2,1,2,2,2,36,16,41,0,1,0,28.8,19.2,32.8,0,0,1,68343,0,1,0,4,4,0.1,,0,7,0.02,2,3,1,0,4,121672.1311,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,0,0,0,69880.33,68372.58687,13.439081
4,37,north carolina,125,moore,north carolina moore,florence,28315,333,2,3,1,1,3,1,50,6,33,0,1,0,40,7.2,26.4,1,1,0,54929,0,1,0,4,2,1.00E-04,,1,2.583333333,1.00E-04,0,0,0,0,4,161067.3403,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,0,1,0,53905.52,68372.58687,-6.269795238
5,45,south carolina,51,horry,south carolina horry,florence,29526,522,1,3,2,1,1,3,47,43,7,1,1,1,56.4,51.6,8.4,0,0,1,59986,0,1,1,3,3,0.02,,0,2,0.02,3,2,2,1,4,19629.92289,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,0,0,0,63493.57,68372.58687,-19.76940904
6,37,north carolina,81,guilford,north carolina guilford,florence,27262,443,3,2,1,1,2,3,2,11,41,1,1,1,2.4,13.2,49.2,1,1,1,68227,0,1,0,5,5,0.001,,1,3.5,0.002,2,1,1,0,1,269928.9367,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,0,0,66854.19,68372.58687,-0.163408257
7,37,north carolina,101,johnston,north carolina johnston,florence,27520,556,1,3,2,3,2,2,39,25,25,0,0,0,31.2,20,20,0,0,0,75837,0,1,0,3,3,1.00E-04,,1,14,1.00E-04,3,1,1,0,3,133480.8516,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,0,1,0,74699.78,68372.58687,25.63096641
8,37,north carolina,135,orange,north carolina orange,florence,27516,386,3,1,2,3,2,2,42,7,25,1,1,1,50.4,8.4,30,1,1,1,125797,0,1,0,2,2,0.02,,1,1.166666667,0.01,2,2,2,0,1,199237.9882,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,0,1,0,112190.92,68372.58687,3.37390339
9,37,north carolina,133,onslow,north carolina onslow,florence,28546,829,2,3,1,2,2,2,33,17,5,0,1,0,26.4,20.4,4,0,0,0,60513,0,1,1,4,2,0.02,,0,1.416666667,0.05,3,2,1,0,5,19068.17898,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,1,0,1,0,65447.34,68372.58687,52.74634262
10,37,north carolina,147,pitt,north carolina pitt,florence,28530,211,2,1,3,3,1,3,44,27,21,0,1,0,35.2,32.4,16.8,0,1,1,47059,0,0,0,4,2,0.002,,1,18,0.002,1,3,2,0,1,39256.10198,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,0,0,0,48415.98,68372.58687,27.57499429
11,37,north carolina,51,cumberland,north carolina cumberland,florence,28314,480,3,1,2,3,3,2,31,46,21,1,1,0,37.2,55.2,16.8,0,1,0,58365,0,1,0,5,2,1.00E-04,,1,1.5,1.00E-04,4,4,4,0,4,137668.081,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,1,0,0,64786.29,68372.58687,13.439081
12,37,north carolina,107,lenoir,north carolina lenoir,florence,28504,392,1,2,3,3,2,2,20,39,9,1,1,1,24,46.8,10.8,1,1,1,64913,0,1,1,1,1,0.02,,0,2,0.05,2,1,1,1,4,60637.54448,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,0,0,66250.77,68372.58687,45.2351375
13,45,south carolina,31,darlington,south carolina darlington,florence,29550,531,3,2,1,1,1,3,5,28,25,1,1,1,6,33.6,30,1,1,0,60104,0,1,0,3,1,0.05,,0,18,0.01,3,1,1,0,4,134630.0791,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,0,1,0,64181.74,68372.58687,-23.42718409
14,37,north carolina,81,guilford,north carolina guilford,florence,27403,210,1,2,3,1,3,2,15,32,40,1,0,0,18,25.6,32,1,1,0,65527,0,1,0,4,4,2.00E-04,,0,0.166666667,0.001,1,1,1,1,1,261702.1328,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,0,0,0,64527.52,68372.58687,-0.163408257
15,37,north carolina,179,union,north carolina union,florence,28112,354,2,3,1,3,1,2,41,19,33,0,1,1,32.8,22.8,39.6,0,0,0,69501,0,1,1,5,5,0.01,,0,2,0.02,4,4,4,0,3,202627.0179,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,0,1,0,66465.47,68372.58687,-18.904277
16,37,north carolina,81,guilford,north carolina guilford,florence,27406,573,3,1,2,2,2,1,23,17,32,0,1,0,18.4,20.4,25.6,0,1,0,56358,0,0,0,1,1,1.00E-04,,0,0.833333333,1.00E-04,1,1,0,0,2,254936.1803,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,0,0,1,55518.03,68372.58687,-0.163408257
17,37,north carolina,51,cumberland,north carolina cumberland,florence,28304,427,2,1,3,1,1,3,1,44,31,1,1,1,1.2,52.8,37.2,1,1,1,59865,0,1,0,3,3,1,,1,12,1,3,1,1,1,4,133022.9166,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,0,0,62875.46,68372.58687,13.439081
18,37,north carolina,49,craven,north carolina craven,florence,28532,507,3,1,2,3,3,2,47,33,27,1,1,1,56.4,39.6,32.4,1,1,1,59145,0,1,1,4,4,0.2,,0,2,0.2,3,2,1,1,2,4931.661904,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,0,0,64736.57,68372.58687,47.10525345
19,45,south carolina,51,horry,south carolina horry,florence,29579,612,2,3,1,3,1,3,13,17,4,1,0,1,15.6,13.6,4.8,1,0,1,71683,0,1,1,3,3,1,,1,0.666666667,1,2,2,2,0,6,7471.069864,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,0,0,74542.71,68372.58687,-19.76940904
20,45,south carolina,51,horry,south carolina horry,florence,29569,249,2,1,3,1,3,3,9,6,9,0,1,1,7.2,7.2,10.8,1,1,0,46341,0,1,1,5,4,0.05,,1,8,0.02,3,2,1,1,6,31279.81639,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,1,0,1,49127.88,68372.58687,-19.76940904
21,37,north carolina,93,hoke,north carolina hoke,florence,28377,357,3,1,2,1,2,1,24,44,3,1,1,1,28.8,52.8,3.6,1,1,1,47736,0,1,1,5,5,1.00E-04,,1,10,1.00E-04,1,1,1,1,2,123933.6951,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,0,1,0,48318.8,68372.58687,-4.514064815
22,37,north carolina,93,hoke,north carolina hoke,florence,28376,652,3,1,2,3,3,1,48,25,39,0,1,0,38.4,30,31.2,0,0,0,60348,0,1,0,3,3,0.001,,1,16,0.001,2,3,0,0,3,141173.4654,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,0,1,0,63154.57,68372.58687,-4.514064815
23,37,north carolina,85,harnett,north carolina harnett,florence,28390,730,1,3,2,1,3,3,48,15,23,0,0,0,38.4,12,18.4,0,0,0,62821,0,1,0,3,3,0.02,,1,13.5,0.002,4,2,0,1,6,146951.8349,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,0,0,0,55588.09,68372.58687,12.663654
24,37,north carolina,51,cumberland,north carolina cumberland,florence,28304,391,3,1,2,2,1,1,18,5,1,1,1,1,21.6,6,1.2,0,0,1,59865,0,1,0,4,4,0.01,,1,20,0.01,3,2,2,0,2,133022.9166,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,1,0,0,62875.46,68372.58687,13.439081
