geoid,tot.pop18,male.pop18,fem.pop18,med.inc18,mean.inc18,mean.inc18.moe,zcta
8600000US00601,13491,6518,6973,13092,18893,1780,00601
8600000US00602,31121,15101,16020,16358,25019,1706,00602
8600000US00603,38794,18637,20157,16603,28089,2197,00603
8600000US00606,5185,2580,2605,12832,16419,1814,00606
8600000US00610,21766,10375,11391,19309,26909,1770,00610
8600000US00612,48085,21972,26113,18171,25370,1372,00612
8600000US00616,9033,4365,4668,16018,24096,3644,00616
8600000US00617,18790,8700,10090,16735,23260,1906,00617
8600000US00622,5690,2504,3186,15206,30086,9805,00622
8600000US00623,33833,15940,17893,16280,24191,1641,00623
8600000US00624,17413,8404,9009,17578,24897,1681,00624
8600000US00627,25844,12235,13609,16831,26926,2839,00627
8600000US00631,1327,644,683,9681,16698,4398,00631
8600000US00637,18256,8387,9869,16887,25245,1954,00637
8600000US00638,13121,6310,6811,14916,22000,2880,00638
8600000US00641,22068,10566,11502,16795,22726,1480,00641
8600000US00646,28963,13599,15364,29320,47960,3986,00646
8600000US00647,4631,2351,2280,13674,17027,1931,00647
8600000US00650,11562,5508,6054,19631,24338,2403,00650
8600000US00652,2872,1414,1458,21650,27835,4173,00652
8600000US00653,8653,3924,4729,12915,18700,2854,00653
8600000US00656,14864,7015,7849,16902,23295,1480,00656
8600000US00659,32416,15304,17112,17201,27665,2203,00659
8600000US00660,13282,5993,7289,19394,27632,3085,00660
8600000US00662,32219,15382,16837,17180,24342,1830,00662
8600000US00664,11593,5699,5894,15253,20670,2297,00664
8600000US00667,19181,9214,9967,13766,19838,1683,00667
8600000US00669,20489,9955,10534,14816,22513,2484,00669
8600000US00670,6725,3311,3414,13427,20065,2816,00670
8600000US00674,31518,14559,16959,19211,27906,1762,00674
8600000US00676,28967,13986,14981,14146,23261,3343,00676
8600000US00677,11704,5572,6132,21673,28509,2654,00677
8600000US00678,20734,9827,10907,16200,24348,2978,00678
8600000US00680,38508,17847,20661,13911,24073,1873,00680
8600000US00682,25931,12415,13516,15029,28033,2126,00682
8600000US00683,24528,11644,12884,15523,24587,2334,00683
8600000US00685,30524,14721,15803,14617,22279,2201,00685
8600000US00687,24360,11967,12393,20589,27362,1907,00687
8600000US00688,10002,5127,4875,17231,23143,1826,00688
8600000US00690,4417,1941,2476,17622,25981,4389,00690
8600000US00692,27839,13054,14785,19094,33845,3318,00692
8600000US00693,43235,20285,22950,19119,27788,1666,00693
8600000US00694,69,41,28,,,,00694
8600000US00698,29116,13666,15450,15019,21994,1059,00698
8600000US00703,20969,10040,10929,17129,26613,3135,00703
8600000US00704,6277,3012,3265,14293,19703,2551,00704
8600000US00705,18483,8728,9755,19516,27468,2458,00705
8600000US00707,8790,4276,4514,19596,25494,4456,00707
8600000US00714,13954,6309,7645,17095,21803,1971,00714
8600000US00715,2424,1177,1247,13070,17954,4308,00715
8600000US00716,22758,10401,12357,18818,34864,3919,00716
8600000US00717,13054,5694,7360,12251,23360,1930,00717
8600000US00718,19709,9119,10590,19318,24985,2150,00718
8600000US00719,23067,11201,11866,19757,25912,1946,00719
8600000US00720,16540,8137,8403,13408,20729,2101,00720
8600000US00723,13992,6751,7241,15826,22598,2056,00723
8600000US00725,64421,28903,35518,20920,32734,1558,00725
8600000US00727,43697,20246,23451,31401,44456,3020,00727
8600000US00728,31770,15734,16036,19047,26589,1614,00728
8600000US00729,40493,19040,21453,20920,32349,2543,00729
8600000US00730,24844,11840,13004,15431,27953,3301,00730
8600000US00731,9924,4758,5166,17083,28562,5822,00731
8600000US00735,10014,4533,5481,19184,32298,6847,00735
8600000US00736,38416,18449,19967,21000,30071,1442,00736
8600000US00738,24135,11035,13100,19404,29302,3028,00738
8600000US00739,28765,13603,15162,20098,30552,2034,00739
8600000US00740,1188,527,661,13136,16074,3110,00740
8600000US00741,3998,1729,2269,22073,26864,3130,00741
8600000US00745,40946,19459,21487,22782,30823,1828,00745
8600000US00751,16374,7675,8699,17567,23747,1775,00751
8600000US00754,30167,14522,15645,18895,27659,2140,00754
8600000US00757,16927,8010,8917,17640,27372,2750,00757
8600000US00765,6867,3432,3435,15271,22694,3312,00765
8600000US00766,18017,8620,9397,19746,29675,5059,00766
8600000US00767,27244,12966,14278,15999,22901,1791,00767
8600000US00769,30791,14715,16076,19928,27878,1908,00769
8600000US00771,29259,13696,15563,21499,30202,2537,00771
8600000US00772,15585,7067,8518,15658,21300,1376,00772
8600000US00773,14734,6835,7899,20829,29220,2077,00773
8600000US00775,1034,512,522,23281,27801,3545,00775
8600000US00777,31174,14543,16631,19139,25608,1502,00777
8600000US00778,36583,17053,19530,33763,49325,4851,00778
8600000US00780,8726,3969,4757,24287,39409,8272,00780
8600000US00782,14281,6999,7282,12492,17780,1557,00782
8600000US00783,26051,12472,13579,14748,21241,1553,00783
8600000US00784,31956,15598,16358,16680,25005,2164,00784
8600000US00786,348,177,171,,32691,14662,00786
8600000US00791,38800,18105,20695,19793,31091,3223,00791
8600000US00794,22075,10729,11346,15970,22969,2497,00794
8600000US00795,34640,16237,18403,20700,29181,2065,00795
8600000US00901,5705,3130,2575,20943,66882,12542,00901
8600000US00906,170,94,76,102917,95583,25897,00906
8600000US00907,14267,6880,7387,33167,67930,8801,00907
8600000US00909,4065,1875,2190,16875,30136,3803,00909
8600000US00911,6297,2896,3401,32833,56272,8089,00911
8600000US00912,4849,2164,2685,22268,37092,5253,00912
8600000US00913,5247,2044,3203,6878,18381,4039,00913
8600000US00915,20841,9918,10923,13839,21287,3163,00915
8600000US00917,15319,7081,8238,14307,29188,6772,00917
8600000US00918,13163,5948,7215,23434,41252,3652,00918
8600000US00920,13913,6241,7672,25841,34757,2402,00920
8600000US00921,26733,11401,15332,19358,30302,2705,00921
8600000US00923,19184,8281,10903,14241,24911,4504,00923
8600000US00924,37799,15761,22038,18832,31658,2293,00924
8600000US00925,6372,2989,3383,9468,21623,6703,00925
8600000US00926,78332,35082,43250,34781,59260,2931,00926
8600000US00927,11451,5288,6163,33502,54472,5416,00927
8600000US00934,60,26,34,,,,00934
8600000US00936,812,312,500,,,,00936
8600000US00949,58971,27084,31887,26392,35713,1708,00949
8600000US00950,0,0,0,,,,00950
8600000US00951,0,0,0,,,,00951
8600000US00952,6362,2820,3542,14911,21856,2193,00952
8600000US00953,55895,26486,29409,29146,42449,1952,00953
8600000US00956,52809,24319,28490,23149,31000,1207,00956
8600000US00957,31029,13597,17432,24612,34386,1719,00957
8600000US00959,38130,16757,21373,30049,40487,2406,00959
8600000US00960,2184,2150,34,,,,00960
8600000US00961,25657,12220,13437,29197,42875,2806,00961
8600000US00962,15062,6986,8076,16062,25927,1761,00962
8600000US00965,5926,2806,3120,14821,25662,7250,00965
8600000US00966,12868,5694,7174,47315,84157,11648,00966
8600000US00968,3103,1234,1869,48175,77584,11049,00968
8600000US00969,34745,15643,19102,51910,77646,5078,00969
8600000US00971,21963,11153,10810,20608,36003,4510,00971
8600000US00976,46722,21063,25659,31304,43468,2671,00976
8600000US00979,14160,6810,7350,36270,60134,6313,00979
8600000US00982,11611,5031,6580,24970,31817,2150,00982
8600000US00983,28315,12399,15916,26259,34298,1535,00983
8600000US00985,25423,11111,14312,25338,34030,1736,00985
8600000US00987,44795,20418,24377,33042,43558,2464,00987
8600000US01001,14325,6514,7811,62144,78870,4937,01001
8600000US01002,26349,12778,13571,55858,85653,5028,01002
8600000US01003,11172,5749,5423,,,,01003
8600000US01005,3963,1992,1971,68278,94293,10094,01005
8600000US01007,11620,5492,6128,93300,114222,7773,01007
8600000US01008,1027,539,488,75250,85155,9029,01008
8600000US01009,249,134,115,81250,77654,27532,01009
8600000US01010,2984,1444,1540,84471,98962,12492,01010
8600000US01011,1185,603,582,64904,77938,10003,01011
8600000US01012,473,241,232,64091,79291,15316,01012
8600000US01013,17991,8170,9821,40594,55988,3971,01013
8600000US01020,24688,12030,12658,58226,70381,3837,01020
8600000US01022,2064,995,1069,41863,52661,6688,01022
8600000US01026,753,366,387,55268,68135,8232,01026
8600000US01027,15089,7168,7921,62772,81225,6894,01027
8600000US01028,12755,5844,6911,88442,103313,7591,01028
8600000US01029,548,266,282,72813,82166,19103,01029
8600000US01030,8837,4301,4536,74139,92404,6569,01030
8600000US01031,961,514,447,42188,63356,12122,01031
8600000US01032,424,191,233,80500,79783,9701,01032
8600000US01033,5257,2529,2728,95987,106998,14152,01033
8600000US01034,1782,898,884,84926,96256,6224,01034
8600000US01035,4494,1915,2579,64276,96514,17069,01035
8600000US01036,4265,2077,2188,85943,104410,10253,01036
8600000US01037,606,354,252,96302,101734,17160,01037
8600000US01038,2401,1181,1220,66818,82873,8920,01038
8600000US01039,927,402,525,77679,99023,18196,01039
8600000US01040,30898,14530,16368,40656,58425,2778,01040
8600000US01050,1947,997,950,63427,75890,7491,01050
8600000US01053,1442,772,670,59074,80090,15452,01053
8600000US01054,1614,791,823,91500,124037,11785,01054
8600000US01056,17354,9110,8244,72040,84787,5010,01056
8600000US01057,7049,3432,3617,82444,94287,5241,01057
8600000US01060,13717,5225,8492,60020,85478,5921,01060
8600000US01062,8042,3896,4146,73954,96383,8995,01062
8600000US01063,587,13,574,,,,01063
8600000US01066,9,9,0,,,,01066
8600000US01068,1516,758,758,84375,97402,6846,01068
8600000US01069,7332,3559,3773,63398,76135,5212,01069
8600000US01070,498,249,249,53750,70856,9940,01070
8600000US01071,1054,469,585,75491,82176,9012,01071
8600000US01072,1210,588,622,78696,90739,8218,01072
8600000US01073,4999,2499,2500,93854,118405,16451,01073
8600000US01074,403,131,272,64840,69852,17406,01074
8600000US01075,15309,5814,9495,65898,83301,4732,01075
8600000US01077,7744,3873,3871,77734,95372,7788,01077
8600000US01079,515,275,240,31875,63468,27148,01079
8600000US01080,2114,973,1141,58139,69715,13393,01080
8600000US01081,1472,703,769,54647,69192,7884,01081
8600000US01082,8396,4092,4304,54107,68449,4595,01082
8600000US01083,2346,1198,1148,70288,74678,15112,01083
8600000US01084,145,86,59,83750,111520,40906,01084
8600000US01085,34105,16231,17874,64026,82468,3462,01085
8600000US01086,372,185,187,,,,01086
8600000US01088,377,151,226,47232,54022,15531,01088
8600000US01089,22475,11128,11347,51472,72502,4206,01089
8600000US01092,1178,526,652,79907,89246,21664,01092
8600000US01093,242,125,117,89643,136228,44249,01093
8600000US01094,262,126,136,25104,46300,16732,01094
8600000US01095,11708,5486,6222,107361,128416,11398,01095
8600000US01096,2191,1069,1122,83080,100853,12531,01096
8600000US01097,24,6,18,,37067,22845,01097
8600000US01098,1023,491,532,78393,90288,9087,01098
8600000US01103,2024,887,1137,18338,36617,6436,01103
8600000US01104,17612,8189,9423,31113,50060,4932,01104
8600000US01105,8876,4286,4590,19921,29784,2927,01105
